Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
1985,2.17,4.78,3.5,2,1.97,3.47,3.49,4.4,2.81,3.27,9,2.37,43.23
1986,1.78,2.22,2.17,1.94,3.7,4.85,5.24,2.42,5.61,2.93,3.96,1.49,38.31
1987,2.13,0.5,0.91,2.13,5.08,3.24,4.76,6.94,3.23,4.43,1.65,5.45,40.45
1988,2.73,2.36,3.38,3.5,1.38,2.05,2.77,3.75,1.9,5.74,5.97,2.18,37.71
1989,1.43,1.49,2.16,2.33,3.4,4.23,2.98,4.58,4.29,1.94,3.53,2.92,35.28
1990,2.32,3.86,3.83,2.31,7.42,4.74,4.78,8.63,4.28,6.64,8.74,4.66,62.21
1991,2.02,1.76,4,5.39,5.94,1.08,0.75,4.17,4.14,10.13,5.01,2.81,47.2
1992,2.27,2.98,5.23,2.34,0.51,2.79,6.34,2.44,8.85,1.69,6.33,4.32,46.09
1993,3.83,1.16,4.45,5.08,2.64,9.55,3.33,4.04,7.53,4.44,3.48,2.1,51.63
1994,2.26,1.26,0.9,3.05,0.82,5.87,2.87,5.63,1.34,3.29,4.5,2.69,34.48
1995,2.76,1.6,2.42,3.97,3.42,4,4.15,4.54,1.04,3.98,4.51,0.66,37.05
1996,1.32,1.54,1.48,3.45,6.81,6.91,8.52,2.15,3.5,3.69,3.74,2.97,46.08
1997,2.54,4.61,2.53,2.38,4.15,5.64,3.59,5.45,2.13,2.03,3.11,3.56,41.72
1998,3.38,2.29,4.52,3.18,2.1,3.55,4.01,4.82,1.2,2.27,1.61,2.37,35.3
1999,4.27,1.97,1.55,5.97,1.74,3.52,4.22,3.91,0.99,1.6,1.78,3.79,35.31
2000,2.71,1.86,1.77,3.66,4.42,7.64,3.91,2.42,4.54,2.78,3.5,3.85,43.06
2001,1.41,3.99,1.53,3.86,3.85,5.03,4.27,5.57,3.68,9.13,2.6,1.76,46.68
2002,2.98,2.48,3.64,4.71,5.47,1.4,2.58,2.42,1.14,1.43,2.1,2.02,32.37
2003,2.09,0.79,2.06,2.43,5.85,2.22,4.56,1.86,2.43,2.68,4,2.11,33.08
2004,1.56,0.93,4.4,1.48,6.05,3.34,4.53,9.4,0.31,3.42,5.61,3.4,44.43
2005,5.48,3.31,1.87,1.43,1.12,2.93,3.98,3.76,2.86,2.21,2.43,1.96,33.34
2006,4.58,1.55,3.69,3.35,4.69,1.94,7.19,3.96,3.53,4.66,4,3.68,46.82
2007,4.14,1.74,1.96,5.35,2.92,2.2,5.99,9.74,1.4,4.18,2.8,3.68,46.1
2008,6.9,3.86,1.83,3.18,2.96,3.77,3.07,3.45,15.29,4.1,2.83,5.42,56.66
2009,1.7,5.81,5.64,4.19,2.99,4.54,4.14,4.03,1.41,7.32,1.15,2.33,45.25
2010,2.36,1.84,1.95,3.65,7.39,5.58,4.99,2.19,2.22,1.46,3.76,3.57,40.96
2011,2.03,2.47,1.89,6.65,7.21,4.69,3.19,2.49,3.67,5,3.87,2.94,46.1
2012,3.19,2.21,1.47,1.83,3.25,2.07,5.03,4.15,1.26,4.48,0.52,2.87,32.33
2013,4.42,2.32,1.68,6.32,3.18,7.86,1.99,4.29,2.24,5.02,3.49,2.04,44.85
2014,2.8,2.77,1.98,2.35,7.03,8.8,1.99,5.95,2.72,4.72,2.59,1.54,45.24
2015,1.66,1.69,0.62,2.6,4.99,6.12,3.82,2.77,3.58,1.45,2.89,4.83,37.02
2016,1.77,2.99,3.79,3.2,3.67,3.24,5.07,10.37,2.27,4.01,3.48,1.97,45.83
2017,3.73,2.96,4.26,5.21,5.06,2.95,4.4,1.41,2.58,9.3,3.04,2.6,47.5
2018,2.92,7.25,1.46,2.48,6.49,3.51,4.3,4.05,2.48,4.14,4.22,3.14,46.44
2019,2.04,2.33,3.94,5.51,7.44,5.18,1.74,2.63,9.19,5.08,2.02,2.25,49.35
2020,4.96,1.11,2.07,4.93,5.83,3.24,2.62,2.46,1.91,3.27,2.29,2.26,36.95